"Corpus"	"CorpusIso"	"Points"	"Recognizer"	"Iso"	"Words"	"Cer"	"WordQ3"	"Coverage"	"Agreement"	"TokenLen"	"GapP25"	"GapP50"	"GapP75"	"GapMax"
"Latin"	"Latn"	"10"	"ar-SA"	"Arab"	"18"	"0.2609"	"11"	"0.1394"	"0"	"3.72"	"0.308"	"0.364"	"0.385"	"0.455"
"Latin"	"Latn"	"10"	"de-DE"	"Latn"	"17"	"0.087"	"11"	"0.1407"	"1"	"3.94"	"0.308"	"0.364"	"0.385"	"0.455"
"Latin"	"Latn"	"10"	"en-US"	"Latn"	"19"	"0.1014"	"11"	"0.1374"	"1"	"3.47"	"0.308"	"0.364"	"0.385"	"0.455"
"Latin"	"Latn"	"10"	"fr-FR"	"Latn"	"18"	"0.0725"	"11"	"0.1382"	"1"	"3.72"	"0.308"	"0.364"	"0.385"	"0.455"
"Latin"	"Latn"	"10"	"zh-Hans-CN"	"Hans"	"23"	"0.3043"	"11"	"0.1271"	"0.0513"	"2.61"	"0.308"	"0.364"	"0.385"	"2.818"
"Latin"	"Latn"	"10"	"zh-Hant-HK"	"Hant"	"19"	"0.2029"	"11"	"0.132"	"0.027"	"3.21"	"0.308"	"0.364"	"0.385"	"2.818"
"Latin"	"Latn"	"10"	"zh-Hant-TW"	"Hant"	"19"	"0.2029"	"11"	"0.132"	"0.027"	"3.21"	"0.308"	"0.364"	"0.385"	"2.818"
"Latin"	"Latn"	"12"	"ar-SA"	"Arab"	"18"	"0.058"	"13"	"0.1599"	"0"	"3.83"	"0.312"	"0.312"	"0.385"	"0.385"
"Latin"	"Latn"	"12"	"de-DE"	"Latn"	"18"	"0.0435"	"13"	"0.1614"	"1"	"3.83"	"0.312"	"0.312"	"0.385"	"0.385"
"Latin"	"Latn"	"12"	"en-US"	"Latn"	"19"	"0.058"	"13"	"0.1586"	"1"	"3.63"	"0.312"	"0.312"	"0.385"	"0.385"
"Latin"	"Latn"	"12"	"fr-FR"	"Latn"	"18"	"0.0435"	"13"	"0.1596"	"1"	"3.83"	"0.312"	"0.312"	"0.385"	"0.385"
"Latin"	"Latn"	"12"	"zh-Hans-CN"	"Hans"	"24"	"0.1884"	"13"	"0.1532"	"0.0465"	"2.75"	"0.154"	"0.312"	"0.385"	"1.308"
"Latin"	"Latn"	"12"	"zh-Hant-HK"	"Hant"	"19"	"0.1159"	"13"	"0.1801"	"0.0455"	"3.53"	"0.154"	"0.308"	"0.385"	"1.154"
"Latin"	"Latn"	"12"	"zh-Hant-TW"	"Hant"	"19"	"0.1159"	"13"	"0.1801"	"0.0455"	"3.53"	"0.154"	"0.308"	"0.385"	"1.154"
"Latin"	"Latn"	"16"	"ar-SA"	"Arab"	"18"	"0.0435"	"17"	"0.1818"	"0"	"3.83"	"0.333"	"0.353"	"0.412"	"0.471"
"Latin"	"Latn"	"16"	"de-DE"	"Latn"	"18"	"0.0435"	"17"	"0.1812"	"1"	"3.83"	"0.333"	"0.381"	"0.412"	"0.471"
"Latin"	"Latn"	"16"	"en-US"	"Latn"	"19"	"0.058"	"17"	"0.1803"	"1"	"3.63"	"0.333"	"0.381"	"0.412"	"0.471"
"Latin"	"Latn"	"16"	"fr-FR"	"Latn"	"18"	"0.0435"	"17"	"0.1812"	"1"	"3.83"	"0.333"	"0.381"	"0.412"	"0.471"
"Latin"	"Latn"	"16"	"zh-Hans-CN"	"Hans"	"31"	"0.1884"	"16"	"0.1643"	"0.0682"	"2.26"	"0.118"	"0.286"	"0.381"	"0.471"
"Latin"	"Latn"	"16"	"zh-Hant-HK"	"Hant"	"18"	"0.1304"	"17"	"0.1768"	"0"	"3.56"	"0.333"	"0.381"	"0.412"	"2.412"
"Latin"	"Latn"	"16"	"zh-Hant-TW"	"Hant"	"18"	"0.1304"	"17"	"0.1768"	"0"	"3.56"	"0.333"	"0.381"	"0.412"	"2.412"
"Latin"	"Latn"	"24"	"ar-SA"	"Arab"	"18"	"0.0435"	"27"	"0.2201"	"0"	"3.83"	"0.355"	"0.37"	"0.387"	"0.481"
"Latin"	"Latn"	"24"	"de-DE"	"Latn"	"18"	"0.058"	"27"	"0.2136"	"1"	"3.72"	"0.355"	"0.37"	"0.387"	"0.444"
"Latin"	"Latn"	"24"	"en-US"	"Latn"	"19"	"0.0725"	"27"	"0.2188"	"1"	"3.58"	"0.333"	"0.37"	"0.387"	"0.444"
"Latin"	"Latn"	"24"	"fr-FR"	"Latn"	"18"	"0.0435"	"27"	"0.2201"	"1"	"3.83"	"0.355"	"0.37"	"0.387"	"0.444"
"Latin"	"Latn"	"24"	"zh-Hans-CN"	"Hans"	"27"	"0.1159"	"27"	"0.2092"	"0.0667"	"2.56"	"0.148"	"0.333"	"0.37"	"0.444"
"Latin"	"Latn"	"24"	"zh-Hant-HK"	"Hant"	"19"	"0.0725"	"27"	"0.2235"	"0"	"3.58"	"0.333"	"0.37"	"0.387"	"0.444"
"Latin"	"Latn"	"24"	"zh-Hant-TW"	"Hant"	"19"	"0.0725"	"27"	"0.2235"	"0"	"3.58"	"0.333"	"0.37"	"0.387"	"0.444"
"Cyrillic"	"Cyrl"	"10"	"ar-SA"	"Arab"	"10"	"0.7143"	"11"	"0.165"	"0"	"6.8"	"0.364"	"0.364"	"0.455"	"0.455"
"Cyrillic"	"Cyrl"	"10"	"de-DE"	"Latn"	"16"	"0.6143"	"11"	"0.1319"	"1"	"4.5"	"0.364"	"0.364"	"0.385"	"0.455"
"Cyrillic"	"Cyrl"	"10"	"en-US"	"Latn"	"16"	"0.6"	"11"	"0.1231"	"1"	"4.12"	"0.364"	"0.385"	"0.455"	"2.538"
"Cyrillic"	"Cyrl"	"10"	"fr-FR"	"Latn"	"13"	"0.5571"	"11"	"0.0908"	"1"	"3.77"	"0.364"	"0.364"	"0.455"	"12.538"
"Cyrillic"	"Cyrl"	"10"	"zh-Hans-CN"	"Hans"	"31"	"0.7286"	"9"	"0.0769"	"0.2857"	"1.68"	"0.083"	"0.333"	"0.455"	"4.583"
"Cyrillic"	"Cyrl"	"10"	"zh-Hant-HK"	"Hant"	"20"	"0.6714"	"11"	"0.092"	"0.0435"	"2.9"	"0.182"	"0.364"	"0.455"	"2.818"
"Cyrillic"	"Cyrl"	"10"	"zh-Hant-TW"	"Hant"	"20"	"0.6714"	"11"	"0.092"	"0.0435"	"2.9"	"0.182"	"0.364"	"0.455"	"2.818"
"Cyrillic"	"Cyrl"	"12"	"ar-SA"	"Arab"	"16"	"0.6143"	"13"	"0.1498"	"0"	"4.69"	"0.308"	"0.375"	"0.385"	"0.385"
"Cyrillic"	"Cyrl"	"12"	"de-DE"	"Latn"	"15"	"0.5571"	"13"	"0.1091"	"1"	"3.8"	"0.312"	"0.385"	"0.385"	"6.438"
"Cyrillic"	"Cyrl"	"12"	"en-US"	"Latn"	"15"	"0.5714"	"13"	"0.1091"	"1"	"3.8"	"0.312"	"0.385"	"0.385"	"6.438"
"Cyrillic"	"Cyrl"	"12"	"fr-FR"	"Latn"	"16"	"0.5571"	"13"	"0.1495"	"1"	"4.44"	"0.312"	"0.385"	"0.385"	"0.385"
"Cyrillic"	"Cyrl"	"12"	"zh-Hans-CN"	"Hans"	"23"	"0.7143"	"13"	"0.1139"	"0.0968"	"2.7"	"0.154"	"0.308"	"0.385"	"1.4"
"Cyrillic"	"Cyrl"	"12"	"zh-Hant-HK"	"Hant"	"23"	"0.6286"	"13"	"0.1125"	"0.069"	"2.61"	"0.154"	"0.308"	"0.385"	"2"
"Cyrillic"	"Cyrl"	"12"	"zh-Hant-TW"	"Hant"	"23"	"0.6286"	"13"	"0.1125"	"0.069"	"2.61"	"0.154"	"0.308"	"0.385"	"2"
"Cyrillic"	"Cyrl"	"16"	"ar-SA"	"Arab"	"16"	"0.6286"	"17"	"0.1708"	"0"	"4.75"	"0.353"	"0.381"	"0.412"	"0.471"
"Cyrillic"	"Cyrl"	"16"	"de-DE"	"Latn"	"16"	"0.7"	"17"	"0.1703"	"1"	"5"	"0.381"	"0.381"	"0.412"	"0.471"
"Cyrillic"	"Cyrl"	"16"	"en-US"	"Latn"	"17"	"0.6714"	"17"	"0.1694"	"1"	"4.53"	"0.353"	"0.381"	"0.412"	"0.471"
"Cyrillic"	"Cyrl"	"16"	"fr-FR"	"Latn"	"16"	"0.6714"	"17"	"0.1703"	"1"	"4.94"	"0.381"	"0.381"	"0.412"	"0.471"
"Cyrillic"	"Cyrl"	"16"	"zh-Hans-CN"	"Hans"	"36"	"0.6571"	"15"	"0.1461"	"0.1667"	"1.86"	"0.059"	"0.143"	"0.381"	"1.714"
"Cyrillic"	"Cyrl"	"16"	"zh-Hant-HK"	"Hant"	"23"	"0.6429"	"17"	"0.1477"	"0"	"2.83"	"0.353"	"0.381"	"0.471"	"2.412"
"Cyrillic"	"Cyrl"	"16"	"zh-Hant-TW"	"Hant"	"23"	"0.6429"	"17"	"0.1477"	"0"	"2.83"	"0.353"	"0.381"	"0.471"	"2.412"
"Cyrillic"	"Cyrl"	"24"	"ar-SA"	"Arab"	"16"	"0.6714"	"27"	"0.2091"	"0"	"4.94"	"0.355"	"0.37"	"0.387"	"0.481"
"Cyrillic"	"Cyrl"	"24"	"de-DE"	"Latn"	"16"	"0.6714"	"27"	"0.203"	"1"	"4.81"	"0.355"	"0.37"	"0.387"	"0.444"
"Cyrillic"	"Cyrl"	"24"	"en-US"	"Latn"	"17"	"0.6714"	"27"	"0.2078"	"1"	"4.47"	"0.333"	"0.37"	"0.387"	"0.444"
"Cyrillic"	"Cyrl"	"24"	"fr-FR"	"Latn"	"16"	"0.6571"	"27"	"0.2091"	"1"	"4.88"	"0.355"	"0.37"	"0.387"	"0.444"
"Cyrillic"	"Cyrl"	"24"	"zh-Hans-CN"	"Hans"	"36"	"0.7429"	"23"	"0.1892"	"0.1667"	"2.17"	"0.111"	"0.222"	"0.37"	"0.71"
"Cyrillic"	"Cyrl"	"24"	"zh-Hant-HK"	"Hant"	"21"	"0.6571"	"27"	"0.185"	"0.0303"	"3.52"	"0.129"	"0.37"	"0.387"	"1.968"
"Cyrillic"	"Cyrl"	"24"	"zh-Hant-TW"	"Hant"	"21"	"0.6571"	"27"	"0.185"	"0.0303"	"3.52"	"0.129"	"0.37"	"0.387"	"1.968"
"Greek"	"Grek"	"10"	"ar-SA"	"Arab"	"10"	"0.6875"	"11"	"0.1679"	"0.2143"	"3.7"	"0.364"	"0.364"	"0.455"	"0.455"
"Greek"	"Grek"	"10"	"de-DE"	"Latn"	"11"	"0.5469"	"11"	"0.1222"	"1"	"4.64"	"0.364"	"0.364"	"0.455"	"2.385"
"Greek"	"Grek"	"10"	"en-US"	"Latn"	"12"	"0.5781"	"11"	"0.1213"	"1"	"4.17"	"0.364"	"0.364"	"0.455"	"2.385"
"Greek"	"Grek"	"10"	"fr-FR"	"Latn"	"12"	"0.5156"	"11"	"0.1298"	"1"	"4.42"	"0.364"	"0.385"	"0.455"	"0.462"
"Greek"	"Grek"	"10"	"zh-Hans-CN"	"Hans"	"23"	"0.7031"	"11"	"0.127"	"0.2222"	"2.26"	"0.091"	"0.364"	"0.455"	"2.818"
"Greek"	"Grek"	"10"	"zh-Hant-HK"	"Hant"	"17"	"0.6406"	"11"	"0.1238"	"0.125"	"2.94"	"0.182"	"0.364"	"0.385"	"2.818"
"Greek"	"Grek"	"10"	"zh-Hant-TW"	"Hant"	"17"	"0.6406"	"11"	"0.1238"	"0.125"	"2.94"	"0.182"	"0.364"	"0.385"	"2.818"
"Greek"	"Grek"	"12"	"ar-SA"	"Arab"	"13"	"0.5"	"13"	"0.1791"	"0"	"4.92"	"0.312"	"0.385"	"0.385"	"0.385"
"Greek"	"Grek"	"12"	"de-DE"	"Latn"	"14"	"0.5312"	"13"	"0.1776"	"1"	"4.64"	"0.312"	"0.385"	"0.385"	"0.385"
"Greek"	"Grek"	"12"	"en-US"	"Latn"	"14"	"0.5469"	"13"	"0.1776"	"1"	"4.64"	"0.312"	"0.385"	"0.385"	"0.385"
"Greek"	"Grek"	"12"	"fr-FR"	"Latn"	"12"	"0.5"	"13"	"0.1501"	"1"	"4.58"	"0.312"	"0.385"	"0.385"	"0.385"
"Greek"	"Grek"	"12"	"zh-Hans-CN"	"Hans"	"24"	"0.6875"	"12"	"0.107"	"0.1739"	"2.04"	"0.077"	"0.308"	"0.385"	"1.667"
"Greek"	"Grek"	"12"	"zh-Hant-HK"	"Hant"	"25"	"0.5938"	"12"	"0.1091"	"0.2174"	"2"	"0.154"	"0.308"	"0.385"	"6"
"Greek"	"Grek"	"12"	"zh-Hant-TW"	"Hant"	"25"	"0.5938"	"12"	"0.1091"	"0.2174"	"2"	"0.154"	"0.308"	"0.385"	"6"
